CCSR_Code,CCSR_label,proc_cd
EXT014,111,T447X2A
EXT014,111,T447X3A
EXT014,111,T447X4A
EXT014,111,T448X1A
EXT014,111,T448X2A
EXT014,111,T448X3A
EXT014,111,T448X4A
EXT014,111,T44901A
EXT014,111,T44902A
EXT014,111,T44903A
EXT014,111,T44904A
EXT014,111,T44991A
EXT014,111,T44992A
EXT014,111,T44993A
EXT014,111,T44994A
EXT014,111,T450X1A
EXT014,111,T450X2A
EXT014,111,T450X3A
EXT014,111,T450X4A
EXT014,111,T451X1A
EXT014,111,T451X2A
EXT014,111,T451X3A
EXT014,111,T451X4A
EXT014,111,T452X1A
EXT014,111,T452X2A
EXT014,111,T452X3A
EXT014,111,T452X4A
EXT014,111,T453X1A
EXT014,111,T453X2A
EXT014,111,T453X3A
EXT014,111,T453X4A
EXT014,111,T454X1A
EXT014,111,T454X2A
EXT014,111,T454X3A
EXT014,111,T454X4A
EXT014,111,T45511A
EXT014,111,T45512A
EXT014,111,T45513A
EXT014,111,T45514A
EXT014,111,T45521A
EXT014,111,T45522A
EXT014,111,T45523A
EXT014,111,T45524A
EXT014,111,T45601A
EXT014,111,T45602A
EXT014,111,T45603A
EXT014,111,T45604A
EXT014,111,T45611A
EXT014,111,T45612A
EXT014,111,T45613A
EXT014,111,T45614A
EXT014,111,T45621A
EXT014,111,T45622A
EXT014,111,T45623A
EXT014,111,T45624A
EXT014,111,T45691A
EXT014,111,T45692A
EXT014,111,T45693A
EXT014,111,T45694A
EXT014,111,T457X1A
EXT014,111,T457X2A
EXT014,111,T457X3A
EXT014,111,T457X4A
EXT014,111,T458X1A
EXT014,111,T458X2A
EXT014,111,T458X3A
EXT014,111,T458X4A
EXT014,111,T4591XA
EXT014,111,T4592XA
EXT014,111,T4593XA
EXT014,111,T4594XA
EXT014,111,T460X1A
EXT014,111,T460X2A
EXT014,111,T460X3A
EXT014,111,T460X4A
EXT014,111,T461X1A
EXT014,111,T461X2A
EXT014,111,T461X3A
EXT014,111,T461X4A
EXT014,111,T462X1A
EXT014,111,T462X2A
EXT014,111,T462X3A
EXT014,111,T462X4A
EXT014,111,T463X1A
EXT014,111,T463X2A
EXT014,111,T463X3A
EXT014,111,T463X4A
EXT014,111,T464X1A
EXT014,111,T464X2A
EXT014,111,T464X3A
EXT014,111,T464X4A
EXT014,111,T465X1A
